"risk3_long","Ftarget","Btrigger","mp"
0.043,0.22,8e+05,"shortcut.obs"
0.039,0.22,9e+05,"shortcut.obs"
0.03,0.22,1e+06,"shortcut.obs"
0.049,0.25,1100000,"shortcut.obs"
0.044,0.28,1300000,"shortcut.obs"
0.041,0.32,1500000,"shortcut.obs"
0.047,0.35,1600000,"shortcut.obs"
0.047,0.37,1700000,"shortcut.obs"
0.043,0.22,8e+05,"shortcut.interp"
0.039,0.22,9e+05,"shortcut.interp"
0.040244119246238,0.23,1e+06,"shortcut.interp"
0.049,0.25,1100000,"shortcut.interp"
0.049762207932838,0.27,1200000,"shortcut.interp"
0.044,0.28,1300000,"shortcut.interp"
0.0483717419194277,0.31,1400000,"shortcut.interp"
0.0480327080356272,0.33,1500000,"shortcut.interp"
0.047,0.35,1600000,"shortcut.interp"
0.047,0.37,1700000,"shortcut.interp"
0.04,0.21,8e+05,"sam.cells"
0.047,0.22,9e+05,"sam.cells"
0.042,0.22,1e+06,"sam.cells"
0.041,0.23,1100000,"sam.cells"
0.045,0.25,1200000,"sam.cells"
0.049,0.27,1300000,"sam.cells"
0.049,0.29,1400000,"sam.cells"
0.048,0.31,1500000,"sam.cells"
0.047,0.33,1600000,"sam.cells"
0.048,0.35,1700000,"sam.cells"
0.0399999999999998,0.21,8e+05,"sam.interp"
0.0469999999999998,0.22,9e+05,"sam.interp"
0.0420000000000001,0.22,1e+06,"sam.interp"
0.0410000000000001,0.23,1100000,"sam.interp"
0.0449999999999996,0.25,1200000,"sam.interp"
0.0490000000000002,0.27,1300000,"sam.interp"
0.0490000000000003,0.29,1400000,"sam.interp"
0.0480000000000002,0.31,1500000,"sam.interp"
0.0470000000000008,0.33,1600000,"sam.interp"
0.0480000000000001,0.35,1700000,"sam.interp"
