Prey,Predator,Intercept,logbPredator,logbPrey,Npred
Cod1,Seal,-5.050965689,1.410438034,-0.246109496,88
Cod2,Seal,-6.862945372,1.554528004,-0.166796428,88
Cod3,Seal,-6.958168035,1.38999513,-0.122533958,88
Cod1,Porpoise,2.324555922,NA,-0.250388948,224
Cod2,Porpoise,2.585418729,NA,-0.301430919,224
Cod1,Cod2,-13.3757484,1.075964403,-0.124047368,
Cod1,Cod3,-10.48454551,0.923879933,-0.088211003,
Cod1,Cod4,-9.684056523,0.884622061,-0.074631755,
Cod1,Cod5,-9.237195478,0.83574969,-0.060384673,
Cod1,Cod6,-9.353143483,0.860453772,-0.059836816,
Cod2,Cod5,-11.9181104,0.768133054,0.18738728,
Cod2,Cod6,-9.734754887,0.864268236,-0.038695018,
Cod1,Whiting5,-18.49326447,1.919397959,-0.459320543,27701
Cod1,Whiting6,-11.39386054,0.971044622,-0.242620422,20949
Cod1,Whiting7,-10.20859553,0.808415326,-0.230527818,9388
Cod1,Whiting8,-10.56068345,0.854289965,-0.240002154,8150
